Character,Lines,Play
"Claudius, King of Denmark (KING.)",545,Hamlet
Ghost of Hamlet's Father (GHOST.),95,Hamlet
Ophelia (OPH.),154,Hamlet
"Getrude, Queen of Denmark (QUEEN.)",157,Hamlet
Fortinbras (FORT.),27,Hamlet
Francisco (FRAN.),10,Hamlet
Barnardo (BAR.),41,Hamlet
Marcellus (MAR.),68,Hamlet
Horatio (HOR.),273,Hamlet
Polonius (POL.),333,Hamlet
Hamlet (HAM.),"1,099",Hamlet
Osric (OSR.),27,Hamlet
Guildenstern (GUIL.),39,Hamlet
Rosencrantz (ROS.),73,Hamlet
Cornelius (COR.),1,Hamlet
Voltemand (VOL.),22,Hamlet
Laertes (LAER.),208,Hamlet
First Player (Player King) (P. KING.),94,Hamlet
Player Queen (P. QUEEN.),30,Hamlet
Player Prologue (P. PRO.),3,Hamlet
Player Lucianus (P. LUC.),6,Hamlet
First Clown (Gravedigger) (1. CLO.),45,Hamlet
Second Clown (Gravedigger) (2. CLO.),12,Hamlet
Laertes's Followers (LAER. FOL.),2,Hamlet
Gentleman (GENT.),14,Hamlet
Reynaldo (REY.),14,Hamlet
Lord (LORD.),3,Hamlet
Messenger (MESS.),16,Hamlet
First Sailor (1. SAIL.),2,Hamlet
First Ambassador (1. AMB.),6,Hamlet
Norwegian Captain (CAP.),12,Hamlet
Doctor of Divinity (DOCTOR.),13,Hamlet
Ophelia's Pallbearers (PALL.),1,Hamlet